playerId,playerName,date,distanceCoveredKm,topSpeedKmh,avgHeartRate,sleepHours,fatigueScore
4,Brahim Diaz,2026-06-29,13.69,25.5,173,5.6,8
1,Achraf Hakimi,2026-06-18,9.57,27.6,172,9.0,8
1,Achraf Hakimi,2026-06-29,11.32,34.5,138,7.4,10
4,Brahim Diaz,2026-06-25,14.75,25.9,159,6.9,3
1,Achraf Hakimi,2026-06-10,13.88,25.9,161,8.5,9
1,Achraf Hakimi,2026-06-17,5.66,32.7,152,7.9,1
1,Achraf Hakimi,2026-06-29,10.20,33.5,140,5.2,6
3,Hakim Ziyech,2026-06-03,11.46,31.2,163,5.9,3
4,Brahim Diaz,2026-06-30,8.00,29.0,144,8.9,7
5,Yassine Bounou,2026-06-29,6.98,29.4,181,8.5,1
4,Brahim Diaz,2026-06-29,7.13,29.4,138,8.4,3
2,Sofyan Amrabat,2026-06-18,8.45,29.4,130,7.2,6
5,Yassine Bounou,2026-06-10,5.74,30.3,175,5.7,10
4,Brahim Diaz,2026-06-11,13.17,28.2,178,5.5,8
2,Sofyan Amrabat,2026-06-28,7.35,29.2,176,6.7,2
2,Sofyan Amrabat,2026-06-19,8.48,29.7,143,5.2,3
5,Yassine Bounou,2026-06-18,5.61,34.9,144,8.1,9
2,Sofyan Amrabat,2026-06-08,7.52,27.0,144,6.3,4
2,Sofyan Amrabat,2026-06-16,13.38,28.0,161,5.6,5
4,Brahim Diaz,2026-06-29,5.16,29.6,148,5.9,9
3,Hakim Ziyech,2026-06-22,12.21,31.1,135,7.9,8
3,Hakim Ziyech,2026-06-26,12.23,27.0,162,8.8,1
4,Brahim Diaz,2026-06-05,12.67,27.7,154,5.1,4
1,Achraf Hakimi,2026-06-20,7.91,25.4,169,8.3,2
5,Yassine Bounou,2026-06-27,11.59,25.1,161,5.1,6
5,Yassine Bounou,2026-06-08,11.99,26.8,142,5.3,5
5,Yassine Bounou,2026-06-23,9.49,25.6,157,6.5,2
2,Sofyan Amrabat,2026-06-13,14.44,30.9,132,8.6,5
3,Hakim Ziyech,2026-06-30,13.23,32.7,174,8.3,7
2,Sofyan Amrabat,2026-06-07,10.23,27.6,180,7.8,3
5,Yassine Bounou,2026-06-15,10.12,34.1,152,7.7,3
3,Hakim Ziyech,2026-06-08,11.23,29.7,182,7.3,7
1,Achraf Hakimi,2026-06-29,11.97,27.0,183,8.9,5
