playerId,playerName,date,distanceCoveredKm,topSpeedKmh,avgHeartRate,sleepHours,fatigueScore
5,Yassine Bounou,2026-06-04,11.89,31.0,144,6.1,7
3,Hakim Ziyech,2026-06-05,12.07,28.1,183,6.7,6
3,Hakim Ziyech,2026-06-24,8.95,34.6,134,6.0,4
5,Yassine Bounou,2026-06-23,11.36,29.4,173,5.5,10
3,Hakim Ziyech,2026-06-15,10.18,29.3,131,8.7,1
2,Sofyan Amrabat,2026-06-07,8.56,31.0,172,5.5,8
3,Hakim Ziyech,2026-06-05,10.60,28.7,169,5.6,5
5,Yassine Bounou,2026-06-07,13.01,28.5,141,5.9,8
5,Yassine Bounou,2026-06-15,12.11,31.3,140,8.7,3
3,Hakim Ziyech,2026-06-09,10.79,32.2,137,8.4,8
2,Sofyan Amrabat,2026-06-28,13.50,31.0,159,8.1,6
1,Achraf Hakimi,2026-06-27,13.95,32.1,178,8.1,4
3,Hakim Ziyech,2026-06-01,13.45,27.6,141,8.2,8
2,Sofyan Amrabat,2026-06-09,11.10,33.8,136,7.1,3
4,Brahim Diaz,2026-06-01,9.46,30.8,168,8.8,1
1,Achraf Hakimi,2026-06-13,12.02,28.6,151,8.0,6
5,Yassine Bounou,2026-06-08,14.90,31.1,184,6.4,5
5,Yassine Bounou,2026-06-21,11.07,25.7,153,7.8,10
2,Sofyan Amrabat,2026-06-27,9.03,27.4,160,7.6,2
5,Yassine Bounou,2026-06-10,10.15,33.3,141,5.2,9
5,Yassine Bounou,2026-06-17,12.36,32.4,181,8.7,5
3,Hakim Ziyech,2026-06-30,9.68,33.9,141,5.8,4
1,Achraf Hakimi,2026-06-27,9.41,30.1,137,7.9,3
2,Sofyan Amrabat,2026-06-12,7.87,28.2,175,8.0,1
2,Sofyan Amrabat,2026-06-04,10.86,26.1,132,5.5,8
3,Hakim Ziyech,2026-06-26,10.30,31.6,146,6.7,5
1,Achraf Hakimi,2026-06-16,5.71,33.8,171,8.7,9
1,Achraf Hakimi,2026-06-08,5.96,26.6,162,8.5,8
4,Brahim Diaz,2026-06-21,11.03,29.2,161,6.8,7
5,Yassine Bounou,2026-06-25,8.91,32.2,136,6.4,9
3,Hakim Ziyech,2026-06-08,12.69,27.3,181,7.8,7
3,Hakim Ziyech,2026-06-15,12.49,29.5,168,6.8,6
2,Sofyan Amrabat,2026-06-02,11.28,31.1,168,6.7,8
4,Brahim Diaz,2026-06-07,11.53,29.3,147,5.6,5
4,Brahim Diaz,2026-06-27,5.21,26.7,177,7.7,6
1,Achraf Hakimi,2026-06-16,6.94,25.7,143,8.7,2
4,Brahim Diaz,2026-06-18,10.37,33.2,175,8.5,7
3,Hakim Ziyech,2026-06-25,11.88,28.0,157,7.4,1
1,Achraf Hakimi,2026-06-25,6.32,27.1,177,7.0,10
3,Hakim Ziyech,2026-06-23,12.67,26.7,144,9.0,9
4,Brahim Diaz,2026-06-05,12.26,26.4,161,5.2,9
1,Achraf Hakimi,2026-06-17,5.33,33.9,176,8.9,9
5,Yassine Bounou,2026-06-14,6.86,26.0,158,8.1,8
1,Achraf Hakimi,2026-06-15,7.86,26.3,148,7.5,5
4,Brahim Diaz,2026-06-16,10.00,27.1,175,7.9,2
2,Sofyan Amrabat,2026-06-23,12.37,29.1,153,5.6,2
2,Sofyan Amrabat,2026-06-29,9.28,28.6,166,6.3,7
2,Sofyan Amrabat,2026-06-18,11.51,28.6,135,8.1,6
3,Hakim Ziyech,2026-06-23,10.79,25.0,169,6.2,7
2,Sofyan Amrabat,2026-06-11,13.45,30.7,176,9.0,8
1,Achraf Hakimi,2026-06-16,11.44,27.1,167,8.9,8
4,Brahim Diaz,2026-06-05,14.23,28.6,156,8.3,9
1,Achraf Hakimi,2026-06-04,7.78,30.5,145,6.4,5
2,Sofyan Amrabat,2026-06-21,6.69,25.0,149,6.2,1
1,Achraf Hakimi,2026-06-18,13.11,25.4,163,8.7,5
3,Hakim Ziyech,2026-06-09,13.12,30.1,167,6.2,9
5,Yassine Bounou,2026-06-05,6.88,26.9,166,7.6,9
4,Brahim Diaz,2026-06-15,12.20,33.6,160,5.7,6
3,Hakim Ziyech,2026-06-04,9.08,28.1,151,8.2,3
3,Hakim Ziyech,2026-06-09,6.17,32.9,158,8.3,4
5,Yassine Bounou,2026-06-03,9.13,28.2,142,6.1,10
2,Sofyan Amrabat,2026-06-09,9.53,28.0,176,6.0,9
3,Hakim Ziyech,2026-06-18,7.90,31.9,155,8.6,1
2,Sofyan Amrabat,2026-06-11,14.45,32.9,140,7.5,5
1,Achraf Hakimi,2026-06-17,9.68,27.4,165,8.2,9
1,Achraf Hakimi,2026-06-06,9.64,25.3,182,5.5,8
